"id","langue","titre","auteur","date","editeur"
"astree1607","fr","L'Astrée, première partie, édition de 1607","Honoré d'Urfé","1607","Dir. Delphine Denis et Alexandre Gefen"
"cyrus1","fr","Artamène ou le Grand Cyrus , partie 1","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus10","fr","Artamène ou le Grand Cyrus, partie 10","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus2","fr","Artamène ou le Grand Cyrus , partie 2","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus3","fr","Artamène ou le Grand Cyrus , partie 3","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus4","fr","Artamène ou le Grand Cyrus , partie 4","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus5","fr","Artamène ou le Grand Cyrus , partie 5","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus6","fr","Artamène ou le Grand Cyrus , partie 6","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus7","fr","Artamène ou le Grand Cyrus , partie 7","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus8","fr","Artamène ou le Grand Cyrus , partie 8","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"cyrus9","fr","Artamène ou le Grand Cyrus, partie 9","Scudéry, Madeleine (1608-1701)","1656","Bourqui C. et Gefen, A."
"moliere","fr","Le Malade imaginaire, édition Sambix de 1674 (servant de base aux Œuvres de M. de Molière publiées chez Thierry et Barbin en 1675)","Molière","1674","Dir. Georges Forestier, Claude Bourqui, Alexandre Gefen"
